20230404	08:18:16	51afcbb3-01c0-4f67-82fa-afa6058d4b68	OPTIONS	/auth	http://localhost:3000
20230404	08:18:16	ff37be23-5b03-46d3-8e3e-9fd6a6e14e4a	POST	/auth	http://localhost:3000
20230404	08:18:16	b4556c08-8ce5-4e4b-bb88-fd7f99429d31	OPTIONS	/users	http://localhost:3000
20230404	08:18:16	27ad4944-2072-4da1-ac03-3d8dde979388	GET	/users	http://localhost:3000
20230404	08:20:14	884a35ae-2d7c-49dc-9a2d-c56a5c5a4823	GET	/users	http://localhost:3000
20230404	08:20:16	37d7b395-4625-4dc6-a31a-a1fe55f784bb	POST	/auth/logout	http://localhost:3000
20230404	08:20:24	7b956f7f-c6ed-46c8-bf2b-60f99b60c9c6	OPTIONS	/auth	http://localhost:3000
20230404	08:20:24	d0557219-cfac-4207-b806-07f7a4914434	POST	/auth	http://localhost:3000
20230404	08:20:24	7b0876b8-2fa0-497f-a9ec-1e0da654ffb7	OPTIONS	/users	http://localhost:3000
20230404	08:20:24	a1717b09-ea98-4422-86f9-ac3713484345	GET	/users	http://localhost:3000
20230404	08:31:16	95cd8fd3-bf89-4a24-bac5-d55e63bee1c1	OPTIONS	/cards	http://localhost:3000
20230404	08:31:16	1c0b9933-c964-4491-81c4-3f2eecb35a63	GET	/cards	http://localhost:3000
20230404	08:32:15	c9361257-9c64-4811-8497-d47633a5f5f2	OPTIONS	/auth/logout	http://localhost:3000
20230404	08:32:15	b528eedf-59a1-4259-8632-0e0e3a2ff0a1	POST	/auth/logout	http://localhost:3000
20230404	08:32:23	d2837a2b-2aa5-4d0f-9a6f-b134b0aa42d4	OPTIONS	/auth	http://localhost:3000
20230404	08:32:23	38acdcd9-6381-473b-95ca-d8b59e4edd0c	POST	/auth	http://localhost:3000
20230404	08:32:23	3540f9f9-8667-4af9-871b-9c517d5fde42	OPTIONS	/users	http://localhost:3000
20230404	08:32:23	c9162115-9a66-42ea-8e10-8abdf6dc08f0	OPTIONS	/cards	http://localhost:3000
20230404	08:32:23	c66ed7d4-6c93-44df-b7a6-515b2719f852	GET	/users	http://localhost:3000
20230404	08:32:23	a21118a9-09a5-4f70-81fb-aacbce459f8c	GET	/cards	http://localhost:3000
20230404	08:33:57	e69153b8-252f-4123-a697-42921558fc77	OPTIONS	/auth/logout	http://localhost:3000
20230404	08:33:57	340ceb77-ee31-4f93-82de-c014ec53368d	POST	/auth/logout	http://localhost:3000
20230404	08:35:59	2bdb1307-c7cf-466e-ab85-dc5dd707d6dc	OPTIONS	/auth	http://localhost:3000
20230404	08:35:59	7123623e-663c-4bdc-b678-04566ca3376e	POST	/auth	http://localhost:3000
20230404	08:35:59	44cefdb6-ed6d-4c2b-b395-ca569e617e9d	OPTIONS	/users	http://localhost:3000
20230404	08:35:59	0a1eb7a8-8834-4d90-95fd-24cc88b3cd32	OPTIONS	/cards	http://localhost:3000
20230404	08:35:59	c45640e8-5689-4899-9d68-6583e6476dbb	GET	/users	http://localhost:3000
20230404	08:35:59	234320cf-4e1d-4e2e-836e-756d7044a9df	GET	/cards	http://localhost:3000
20230404	08:36:40	08c65d91-9487-4483-91f9-964127ad3a1d	OPTIONS	/auth/logout	http://localhost:3000
20230404	08:36:40	14122ed1-c5bc-4ca9-8e36-927b80acd2e9	POST	/auth/logout	http://localhost:3000
20230404	08:36:41	9f4a336c-d982-4b28-a4d4-bc2f8cd61e5f	GET	/auth/logout	undefined
20230404	08:36:41	a5ea1426-98b8-4f30-8d1b-e874d29d729c	GET	/auth/css/style.css	undefined
20230404	09:00:22	c23b1843-945e-46f3-b8cb-fbb2c206a400	OPTIONS	/auth	http://localhost:3000
20230404	09:00:22	a1ca271b-933d-41d9-b9aa-c4dc58ef6a73	POST	/auth	http://localhost:3000
20230404	09:00:22	6898bd93-e94b-4d46-ab22-a8f3dec55857	OPTIONS	/users	http://localhost:3000
20230404	09:00:22	a19f23a5-11af-42f8-abba-8396df661386	OPTIONS	/cards	http://localhost:3000
20230404	09:00:22	f15f0791-121e-43cb-b4d7-7ba15d2a3ba4	GET	/users	http://localhost:3000
20230404	09:00:22	1c8f3ba4-eaaf-4ce9-95a5-eb9f71a933e2	GET	/cards	http://localhost:3000
20230404	09:00:40	f68275ee-c613-4e36-98a8-5f2eff361691	GET	/cards	http://localhost:3000
20230404	09:00:40	71b68b51-11ba-4e14-a24b-620769f3a640	GET	/users	http://localhost:3000
20230404	09:01:31	c670fa0b-4f66-4118-b798-e7864416a8a9	GET	/users	http://localhost:3000
20230404	09:01:31	2eace0a0-a519-40b5-accf-217365d4c12c	GET	/cards	http://localhost:3000
20230404	09:01:32	28d4238a-c531-43e6-aeb7-d4623e957843	POST	/auth/logout	http://localhost:3000
20230404	09:01:40	946f9122-3e6f-4bf1-8f8f-6d4181b3c272	OPTIONS	/auth	http://localhost:3000
20230404	09:01:40	f65a4ab0-6b49-4b3a-8c3c-677db9379ab7	POST	/auth	http://localhost:3000
20230404	09:01:40	b8b853bb-6e82-4074-a840-acf228a27fff	OPTIONS	/users	http://localhost:3000
20230404	09:01:40	939bcd4c-a5ed-401e-b049-43a90d055880	OPTIONS	/cards	http://localhost:3000
20230404	09:01:40	f4487bff-a5a1-4284-8daf-0bf052c26165	GET	/users	http://localhost:3000
20230404	09:01:40	f866a274-0729-4020-97d0-97f62ff158ac	GET	/cards	http://localhost:3000
20230404	09:02:02	af3554ad-cc81-4fb9-b3b3-27dc0caec2a8	GET	/users	http://localhost:3000
20230404	09:02:02	e195c87c-db9c-4764-984a-adc56b06bcf6	GET	/cards	http://localhost:3000
20230404	09:02:03	b18904f2-db94-4817-9e42-25f88db60fcc	GET	/cards	http://localhost:3000
20230404	09:02:03	17f56a92-b6a7-449f-a229-b6f8a5cb1332	GET	/users	http://localhost:3000
20230404	09:02:42	3ce056b3-3a99-47f5-a3c9-bcd6e3a3e78c	GET	/cards	http://localhost:3000
20230404	09:02:42	87c4f3b7-e6b4-43f9-8f46-77fb191ec9d4	GET	/users	http://localhost:3000
20230404	09:02:44	5b2f95df-61fb-4cf6-b0cf-12d237d8aaed	POST	/auth/logout	http://localhost:3000
20230404	09:02:52	e62b6c9b-d2ff-46e9-9fb9-d167250d3e79	OPTIONS	/auth	http://localhost:3000
20230404	09:02:52	7bd4e4df-162c-4783-8400-2e879ccec3fc	POST	/auth	http://localhost:3000
20230404	09:02:52	50e0ffbf-1f4c-4e68-aa5a-3f219ce68902	OPTIONS	/users	http://localhost:3000
20230404	09:02:52	7d029f7c-8970-46ea-9bc0-2cacfb1fb57e	OPTIONS	/cards	http://localhost:3000
20230404	09:02:52	46a0be5a-2f84-4a26-837f-ebcc28d3e9d2	GET	/users	http://localhost:3000
20230404	09:02:52	131ff9d4-9c62-42ab-a542-ef9ae6d9c861	GET	/cards	http://localhost:3000
20230404	09:04:07	e1584a3f-a680-4086-a625-273a67fbb1f9	OPTIONS	/auth/logout	http://localhost:3000
20230404	09:04:07	d36fe53f-5f2d-4b79-8e85-630ea41b9d80	POST	/auth/logout	http://localhost:3000
20230404	09:11:40	3e84f6e4-b7da-456c-a669-c614d994a7ab	OPTIONS	/auth	http://localhost:3000
20230404	09:11:40	9a782c85-bc04-4ae2-ae85-0e8029305ddd	POST	/auth	http://localhost:3000
20230404	09:11:40	72d58ab7-d0ab-4c38-abfd-831744ec6725	OPTIONS	/users	http://localhost:3000
20230404	09:11:40	c490d095-6503-4c33-9952-42ac54aac658	OPTIONS	/cards	http://localhost:3000
20230404	09:11:40	1d88ce77-72c2-41d7-a7ea-9c5191a7877a	GET	/users	http://localhost:3000
20230404	09:11:40	b00f9737-3013-4a06-a48a-d3227834048a	GET	/cards	http://localhost:3000
20230404	09:11:41	d1aa1407-7b61-45dd-9603-a8f91df7116f	GET	/cards	http://localhost:3000
20230404	09:11:41	acaaad68-e203-4024-b378-a35b6b058fb0	GET	/users	http://localhost:3000
20230404	09:11:43	d0a3633e-83d6-4ec6-a7bc-6c44de231ac6	GET	/users	http://localhost:3000
20230404	09:11:43	c43218d9-58b0-4518-810b-3effb4d88e54	GET	/cards	http://localhost:3000
20230404	09:11:56	a627c974-6f54-48cb-bdc0-e8754ecaa20c	POST	/auth/logout	http://localhost:3000
20230404	09:12:25	93bae6e1-77af-4f2d-8ce5-73ecd61d011b	OPTIONS	/auth	http://localhost:3000
20230404	09:12:25	74059b28-73f0-4484-8e0e-ca374fc38444	GET	/	undefined
20230404	09:12:25	6d6e1daf-aec5-4922-bec6-7731dcd9f871	POST	/auth	http://localhost:3000
20230404	09:12:26	227e7125-de6d-4829-809f-d5874e8aa5e1	GET	/css/style.css	undefined
20230404	09:12:26	a2dc19be-5b4c-4113-9597-a66b23faea13	GET	/favicon.ico	undefined
20230404	09:31:19	686b6958-dd2f-4717-a35f-d675fd804553	OPTIONS	/auth	http://localhost:3000
20230404	09:31:19	86f3d8fd-6780-44f4-8299-053f202da808	POST	/auth	http://localhost:3000
20230404	09:31:19	5ed62298-7e47-468a-b0c6-bf7b4036a0b2	OPTIONS	/users	http://localhost:3000
20230404	09:31:19	524f765c-3de9-420b-bf49-49f236ae87c7	OPTIONS	/cards	http://localhost:3000
20230404	09:31:19	dfffa07b-4b59-432a-8f85-30a34d1bc62c	GET	/cards	http://localhost:3000
20230404	09:31:19	e625dbbe-ac5f-4ea9-9cb8-f86af593288d	GET	/users	http://localhost:3000
20230404	09:31:35	c8155e34-cdf9-4b79-8ef1-6440f8a36abd	GET	/	undefined
20230404	09:31:36	f2a73d91-674c-4f92-9092-a23c318f12a5	GET	/css/style.css	undefined
20230404	09:31:36	78d6bc51-cc91-47a4-9ff4-6476af92833f	GET	/favicon.ico	undefined
20230404	09:32:04	9dc032f3-a8a1-4d85-87e9-cee9ea3d0dae	GET	/users	http://localhost:3000
20230404	09:32:04	7021624a-e39a-4943-ae4d-f27aa4f51359	GET	/cards	http://localhost:3000
20230404	09:32:11	de9af2ff-216b-4cb8-9b71-2aaa806d5f0f	GET	/users	http://localhost:3000
20230404	09:32:11	782219cb-3ab9-492b-927d-50b5d7d3c3d5	GET	/cards	http://localhost:3000
20230404	09:33:12	455c69a5-c7e3-42a9-9eaa-d299ce23e4d9	GET	/cards	http://localhost:3000
20230404	09:33:12	9a051e88-e92b-44c1-9ab1-e6a66a6fe254	GET	/users	http://localhost:3000
20230404	09:33:24	6332c506-5ba1-4d7e-a5b5-58f7cbb30d1e	POST	/auth/logout	http://localhost:3000
20230404	09:33:42	041b3919-17bb-4972-aec8-654464ef99cb	OPTIONS	/auth	http://localhost:3000
20230404	09:33:42	d96372d2-39bb-4f10-ac33-212a28353b4c	POST	/auth	http://localhost:3000
20230404	09:33:42	3c735557-6b35-48bd-a4d0-1a5d2502d5f3	OPTIONS	/users	http://localhost:3000
20230404	09:33:42	eca5c715-ecae-4417-9618-874bc4b482b6	OPTIONS	/cards	http://localhost:3000
20230404	09:33:42	74b743ec-8cad-4d20-b2d1-d4936343fa79	GET	/users	http://localhost:3000
20230404	09:33:42	1699cd9f-e4a4-4508-a287-4e44bfbca1ec	GET	/cards	http://localhost:3000
20230404	09:33:55	8847b6bf-a232-4e19-accc-3442ae71f9b9	GET	/users	http://localhost:3000
20230404	09:33:55	6074a6d9-e69a-42a2-951b-a47602ff7465	GET	/cards	http://localhost:3000
20230405	16:07:38	3afbe26b-9986-46bb-9ab5-d3f3a763ba45	POST	/auth	http://localhost:3000
20230405	16:07:38	1c03e383-6382-4a2e-84d8-483eea06f77e	OPTIONS	/auth	http://localhost:3000
20230405	16:07:38	5a6e0f00-fdae-4c20-a6e8-e8dfaca51508	OPTIONS	/cards	http://localhost:3000
20230405	16:07:38	48a7ee50-ec39-473c-82ba-e601df9afa38	OPTIONS	/users	http://localhost:3000
20230405	16:07:38	f66623fc-6d2b-4663-986c-b3fee72a0721	GET	/users	http://localhost:3000
20230405	16:07:38	b619dc4e-ea41-4772-935a-ac529710eec6	GET	/cards	http://localhost:3000
20230405	16:07:42	fb624335-bac3-4f51-8bc6-af1c8d8ed54d	OPTIONS	/auth/logout	http://localhost:3000
20230405	16:07:42	2e65750f-d634-48a3-9dd1-813b83cb4ab4	POST	/auth/logout	http://localhost:3000
20230405	16:45:06	e70cf597-f788-4d5a-a63f-7b6921a9c96f	POST	/auth	http://localhost:3000
20230405	16:45:06	1fca1254-a872-4afa-8983-39c0f8f599ed	OPTIONS	/auth	http://localhost:3000
20230405	16:45:07	c0e150ca-d12f-427b-9b19-2b65e34a5db9	GET	/users	http://localhost:3000
20230405	16:45:07	3935b162-dde3-4366-bc45-d5bb504ffe82	OPTIONS	/cards	http://localhost:3000
20230405	16:45:07	419f6f63-7e8e-4f1c-b67d-c1ae7c481ac1	OPTIONS	/users	http://localhost:3000
20230405	16:45:07	2dbd59f8-ecfc-4d74-9c68-989350506508	GET	/cards	http://localhost:3000
20230405	16:46:01	44c3fcca-723a-46be-9ee4-04c8ba45e08d	GET	/auth/refresh	http://localhost:3000
20230405	16:46:01	6b3c98a1-331e-47e6-92e1-c5ccd736f2d4	OPTIONS	/users	http://localhost:3000
20230405	16:46:01	5ee5a78c-ce75-4dad-bb0f-4dbcfef29383	OPTIONS	/cards	http://localhost:3000
20230405	16:46:01	d7915538-63fd-401e-844c-5d3517ecc363	GET	/users	http://localhost:3000
20230405	16:46:01	1d32f545-0356-41cb-b5e6-70a695529183	GET	/cards	http://localhost:3000
20230405	16:49:20	5b64b27a-11ab-4be0-ad23-8d3ef6c5babc	GET	/auth/refresh	http://localhost:3000
20230405	16:49:20	94baf012-0a23-4353-9241-57aea1865190	GET	/users	http://localhost:3000
20230405	16:49:20	84958afb-6a88-474f-a1c9-6ab5b1d4785d	OPTIONS	/users	http://localhost:3000
20230405	16:49:20	e6a1ba33-7714-42d3-b436-c799e093afb0	GET	/cards	http://localhost:3000
20230405	16:49:20	d912526f-fab8-4a31-a047-da61a29fec29	OPTIONS	/cards	http://localhost:3000
20230405	16:51:05	d2dc82f0-65be-4c32-a788-ade6a0548e5c	GET	/auth/refresh	http://localhost:3000
20230405	16:51:05	b2fa0d5f-2d2c-4219-a168-04755893ad17	OPTIONS	/users	http://localhost:3000
20230405	16:51:05	da8a36b8-bf56-4512-8f54-0b6374ddbbaa	OPTIONS	/cards	http://localhost:3000
